firstname,middleInitial,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,company,ou
Lola,,Wolfe,lwolfe,lwolfe@trojanbricks.com,1 Trojan Ave,Little Rock,72204,AR,United States,Executive Staff,Iheartbricks1,501-555-1212,President and CEO,Trojan Bricks,"CN=Users,DC=cybergym,DC=local"
Johnnie,,Lewis,jlewis,jlewis@trojanbricks.com,1 Trojan Ave,Little Rock,72204,AR,United States,Executive Staff,Iheartbricks2,501-555-1213,Executive Assistant,Trojan Bricks,"CN=Users,DC=cybergym,DC=local"
Jon,,Brown,jbrown,jbrown@trojanbricks.com,1 Trojan Ave,Little Rock,72204,AR,United States,Engineering,Iheartbricks3,501-555-1214,Chief Operating Officer,Trojan Bricks,"CN=Users,DC=cybergym,DC=local"
Jenny,,McDaniel,jmcdaniel,jmcdaniel@trojanbricks.com,1 Trojan Ave,Little Rock,72204,AR,United States,Engineering,Iheartbricks4,501-555-1215,jenn,Trojan Bricks,"CN=Users,DC=cybergym,DC=local"
Marcus,,Sherman,msherman,msherman@trojanbricks.com,1 Trojan Ave,Little Rock,72204,AR,United States,Accounting,Iheartbricks5,501-555-1216,Chief Financial Officer,Trojan Bricks,"CN=Users,DC=cybergym,DC=local"
Kim,,Curry,kcurry,kcurry@trojanbricks.com,1 Trojan Ave,Little Rock,72204,AR,United States,Accounting,Iheartbricks6,501-555-1217,Accountant,Trojan Bricks,"CN=Users,DC=cybergym,DC=local"
Harold,,Blair,hblair,hblair@trojanbricks.com,1 Trojan Ave,Little Rock,72204,AR,United States,Marketing,Iheartbricks7,501-555-1218,Chief Marketing Officer,Trojan Bricks,"CN=Users,DC=cybergym,DC=local"
Frankie,,Casey,fcasey,fcasey@trojanbricks.com,1 Trojan Ave,Little Rock,72204,AR,United States,Marketing,Iheartbricks8,501-555-1219,VP of Design,Trojan Bricks,"CN=Users,DC=cybergym,DC=local"
Jim,,Turn,jturn,jturn@trojanbricks.com,1 Trojan Ave,Little Rock,72204,AR,United States,HR,Iheartbricks9,501-555-1220,VP of Human Resources,Trojan Bricks,"CN=Users,DC=cybergym,DC=local"
Chris,,Vargas,cvargas,cvargas@trojanbricks.com,1 Trojan Ave,Little Rock,72204,AR,United States,HR,Iheartbricks10,501-555-1221,Recruiter,Trojan Bricks,"CN=Users,DC=cybergym,DC=local"
IT,,Works,itworks,support@itworks.com,123 President Clinton Ave,Little Rock,72202,AR,United States,Contractor,myComplexP@$$1,501-555-2111,,IT Works!,"OU=Contractors,DC=cybergym,DC=local"
Evolution,,,evolution,support@evolution.com,123 Cantrell Dr,Little Rock,72201,AR,United States,Contractor,myComplexP@$$1,501-555-2112,,Evolution,"OU=Contractors,DC=cybergym,DC=local"
Tom,,Heating and Cooling,tom,tom@tomshandc.com,123 Markham Dr,Little Rock,72205,AR,United States,Contractor,myComplexP@$$1,501-555-2113,,Tom's Heating and Cooling,"OU=Contractors,DC=cybergym,DC=local"
